Years,x10_min,rank,Probability,Frequency
"2017-2018",83.4,1,4.54545454545455,22
"2009-2010",81.6,2,9.09090909090909,11
"2001-2002",77.4,3,13.6363636363636,7.33333333333333
"2012-2013",65.4,4,18.1818181818182,5.5
"2015-2016",60.6,5,22.7272727272727,4.4
"2014-2015",60,6,27.2727272727273,3.66666666666667
"2002-2003",59.4,7,31.8181818181818,3.14285714285714
"2020-2021",59.4,8,36.3636363636364,2.75
"2018-2019",58.2,9,40.9090909090909,2.44444444444444
"2019-2020",55.2,10,45.4545454545455,2.2
"2006-2007",49.2,11,50,2
"2021-2022",45,12,54.5454545454545,1.83333333333333
"2008-2009",43.8,13,59.0909090909091,1.69230769230769
"2004-2005",42.6,14,63.6363636363636,1.57142857142857
"2010-2011",42.6,15,68.1818181818182,1.46666666666667
"2007-2008",41.4,16,72.7272727272727,1.375
"2011-2012",41.4,17,77.2727272727273,1.29411764705882
"2003-2004",37.2,18,81.8181818181818,1.22222222222222
"2016-2017",36,19,86.3636363636364,1.15789473684211
"2005-2006",35.4,20,90.9090909090909,1.1
"2013-2014",29.4,21,95.4545454545455,1.04761904761905
