Years,x10_min,rank,Probability,Frequency
"2005-2006",61.2,1,5.55555555555556,18
"2009-2010",59.4,2,11.1111111111111,9
"2017-2018",58.2,3,16.6666666666667,6
"2007-2008",51.6,4,22.2222222222222,4.5
"2008-2009",51.6,5,27.7777777777778,3.6
"2013-2014",46.8,6,33.3333333333333,3
"2016-2017",45.6,7,38.8888888888889,2.57142857142857
"2019-2020",37.2,8,44.4444444444444,2.25
"2015-2016",36.6,9,50,2
"2018-2019",36.6,10,55.5555555555556,1.8
"2010-2011",32.4,11,61.1111111111111,1.63636363636364
"2006-2007",31.8,12,66.6666666666667,1.5
"2012-2013",31.2,13,72.2222222222222,1.38461538461538
"2014-2015",30,14,77.7777777777778,1.28571428571429
"2020-2021",30,15,83.3333333333333,1.2
"2021-2022",28.8,16,88.8888888888889,1.125
"2011-2012",25.2,17,94.4444444444444,1.05882352941176
