Years,x10_min,rank,Probability,Frequency
"2009-2010",72,1,4.16666666666667,24
"2017-2018",64.2,2,8.33333333333333,12
"2005-2006",61.2,3,12.5,8
"2007-2008",54,4,16.6666666666667,6
"2001-2002",46.2,5,20.8333333333333,4.8
"2021-2022",45.6,6,25,4
"2013-2014",42,7,29.1666666666667,3.42857142857143
"2019-2020",40.2,8,33.3333333333333,3
"2015-2016",39.6,9,37.5,2.66666666666667
"2006-2007",38.4,10,41.6666666666667,2.4
"2008-2009",37.8,11,45.8333333333333,2.18181818181818
"2014-2015",36.6,12,50,2
"2020-2021",36.6,13,54.1666666666667,1.84615384615385
"2018-2019",35.4,14,58.3333333333333,1.71428571428571
"2004-2005",34.8,15,62.5,1.6
"2000-2001",34.2,16,66.6666666666667,1.5
"2016-2017",34.2,17,70.8333333333333,1.41176470588235
"2002-2003",31.2,18,75,1.33333333333333
"2003-2004",29.4,19,79.1666666666667,1.26315789473684
"2010-2011",28.8,20,83.3333333333333,1.2
"2012-2013",28.2,21,87.5,1.14285714285714
"2011-2012",27.6,22,91.6666666666667,1.09090909090909
"1999-2000",24,23,95.8333333333333,1.04347826086957
