Years,x10_min,rank,Probability,Frequency
"2006-2007",63,1,6.25,16
"2007-2008",59.4,2,12.5,8
"2002-2003",56.4,3,18.75,5.33333333333333
"2000-2001",50.4,4,25,4
"1996-1997",49.8,5,31.25,3.2
"2003-2004",39,6,37.5,2.66666666666667
"1993-1994",36.6,7,43.75,2.28571428571429
"2005-2006",30,8,50,2
"1998-1999",29.4,9,56.25,1.77777777777778
"1994-1995",28.2,10,62.5,1.6
"1995-1996",27.75,11,68.75,1.45454545454545
"1997-1998",27,12,75,1.33333333333333
"2001-2002",24.6,13,81.25,1.23076923076923
"2004-2005",18,14,87.5,1.14285714285714
"1999-2000",16.2,15,93.75,1.06666666666667
