Years,x10_min,rank,Probability,Frequency
"2006-2007",102.6,1,3.84615384615385,26
"2002-2003",91.2,2,7.69230769230769,13
"2005-2006",87.6,3,11.5384615384615,8.66666666666667
"2003-2004",75,4,15.3846153846154,6.5
"2014-2015",73.8,5,19.2307692307692,5.2
"2020-2021",73.8,6,23.0769230769231,4.33333333333333
"2009-2010",66.6,7,26.9230769230769,3.71428571428571
"2013-2014",62.4,8,30.7692307692308,3.25
"2018-2019",56.4,9,34.6153846153846,2.88888888888889
"2010-2011",55.2,10,38.4615384615385,2.6
"2001-2002",52.2,11,42.3076923076923,2.36363636363636
"2008-2009",51,12,46.1538461538462,2.16666666666667
"2021-2022",50.4,13,50,2
"2007-2008",49.8,14,53.8461538461538,1.85714285714286
"1998-1999",46.2,15,57.6923076923077,1.73333333333333
"2019-2020",45,16,61.5384615384615,1.625
"2012-2013",44.4,17,65.3846153846154,1.52941176470588
"2016-2017",43.2,18,69.2307692307692,1.44444444444444
"2017-2018",43.2,19,73.0769230769231,1.36842105263158
"1997-1998",41.4,20,76.9230769230769,1.3
"2015-2016",40.2,21,80.7692307692308,1.23809523809524
"2000-2001",37.2,22,84.6153846153846,1.18181818181818
"2004-2005",37.2,23,88.4615384615385,1.1304347826087
"2011-2012",36,24,92.3076923076923,1.08333333333333
"1999-2000",31.2,25,96.1538461538462,1.04
