Years,x10_min,rank,Probability,Frequency
"2008-2009",60,1,6.25,16
"2017-2018",52.8,2,12.5,8
"2018-2019",52.2,3,18.75,5.33333333333333
"2007-2008",45.6,4,25,4
"2020-2021",45.6,5,31.25,3.2
"2013-2014",44.4,6,37.5,2.66666666666667
"2019-2020",44.4,7,43.75,2.28571428571429
"2009-2010",38.4,8,50,2
"2012-2013",35.4,9,56.25,1.77777777777778
"2014-2015",34.8,10,62.5,1.6
"2015-2016",30.6,11,68.75,1.45454545454545
"2016-2017",28.2,12,75,1.33333333333333
"2021-2022",28.2,13,81.25,1.23076923076923
"2011-2012",27.6,14,87.5,1.14285714285714
"2010-2011",26.4,15,93.75,1.06666666666667
