Years,x10_min,rank,Probability,Frequency
"2018-2019",66.6,1,6.25,16
"2016-2017",53.4,2,12.5,8
"2012-2013",48,3,18.75,5.33333333333333
"2017-2018",48,4,25,4
"2014-2015",45.6,5,31.25,3.2
"2015-2016",45,6,37.5,2.66666666666667
"2009-2010",43.8,7,43.75,2.28571428571429
"2013-2014",43.8,8,50,2
"2019-2020",41.4,9,56.25,1.77777777777778
"2007-2008",40.8,10,62.5,1.6
"2020-2021",35.4,11,68.75,1.45454545454545
"2010-2011",32.4,12,75,1.33333333333333
"2021-2022",29.4,13,81.25,1.23076923076923
"2011-2012",27.6,14,87.5,1.14285714285714
"2008-2009",27,15,93.75,1.06666666666667
