Years,x10_min,rank,Probability,Frequency
"2009-2010",67.2,1,7.69230769230769,13
"2004-2005",54,2,15.3846153846154,6.5
"2006-2007",46.2,3,23.0769230769231,4.33333333333333
"2015-2016",43.8,4,30.7692307692308,3.25
"2005-2006",36,5,38.4615384615385,2.6
"2017-2018",36,6,46.1538461538462,2.16666666666667
"2007-2008",28.8,7,53.8461538461538,1.85714285714286
"2014-2015",22.8,8,61.5384615384615,1.625
"2020-2021",22.8,9,69.2307692307692,1.44444444444444
"2016-2017",18.6,10,76.9230769230769,1.3
"2018-2019",16.8,11,84.6153846153846,1.18181818181818
"2008-2009",11.4,12,92.3076923076923,1.08333333333333
