Years,x10_min,rank,Probability,Frequency
"2021-2022",53.4,1,6.25,16
"2020-2021",47.4,2,12.5,8
"2017-2018",39.6,3,18.75,5.33333333333333
"2014-2015",34.8,4,25,4
"2013-2014",27,5,31.25,3.2
"2009-2010",25.8,6,37.5,2.66666666666667
"2018-2019",25.2,7,43.75,2.28571428571429
"2011-2012",24.6,8,50,2
"2019-2020",24,9,56.25,1.77777777777778
"2008-2009",23.4,10,62.5,1.6
"2015-2016",21,11,68.75,1.45454545454545
"2012-2013",18.6,12,75,1.33333333333333
"2007-2008",15.6,13,81.25,1.23076923076923
"2010-2011",13.8,14,87.5,1.14285714285714
"2016-2017",11.4,15,93.75,1.06666666666667
