Years,x10_min,rank,Probability,Frequency
"2015-2016",94.8,1,6.66666666666667,15
"2017-2018",72.6,2,13.3333333333333,7.5
"2019-2020",60.6,3,20,5
"2012-2013",59.4,4,26.6666666666667,3.75
"2009-2010",45,5,33.3333333333333,3
"2013-2014",45,6,40,2.5
"2008-2009",44.4,7,46.6666666666667,2.14285714285714
"2014-2015",42.6,8,53.3333333333333,1.875
"2021-2022",42,9,60,1.66666666666667
"2007-2008",33,10,66.6666666666667,1.5
"2010-2011",28.2,11,73.3333333333333,1.36363636363636
"2018-2019",26.4,12,80,1.25
"2020-2021",24.6,13,86.6666666666667,1.15384615384615
"2016-2017",21.6,14,93.3333333333333,1.07142857142857
