Years,x10_min,rank,Probability,Frequency
"2017-2018",114.6,1,4.54545454545455,22
"2019-2020",93,2,9.09090909090909,11
"2006-2007",90.6,3,13.6363636363636,7.33333333333333
"2008-2009",79.2,4,18.1818181818182,5.5
"2003-2004",77.4,5,22.7272727272727,4.4
"2010-2011",74.4,6,27.2727272727273,3.66666666666667
"2020-2021",60.6,7,31.8181818181818,3.14285714285714
"2015-2016",54,8,36.3636363636364,2.75
"2018-2019",50.4,9,40.9090909090909,2.44444444444444
"2002-2003",49.8,10,45.4545454545455,2.2
"2007-2008",49.8,11,50,2
"2014-2015",49.2,12,54.5454545454545,1.83333333333333
"2009-2010",48,13,59.0909090909091,1.69230769230769
"2012-2013",45,14,63.6363636363636,1.57142857142857
"2013-2014",43.8,15,68.1818181818182,1.46666666666667
"2016-2017",43.2,16,72.7272727272727,1.375
"2001-2002",42.6,17,77.2727272727273,1.29411764705882
"2005-2006",39.6,18,81.8181818181818,1.22222222222222
"2011-2012",39.6,19,86.3636363636364,1.15789473684211
"2021-2022",29.4,20,90.9090909090909,1.1
"2004-2005",27.6,21,95.4545454545455,1.04761904761905
