Years,x10_min,rank,Probability,Frequency
"2013-2014",88.2,1,7.14285714285714,14
"2010-2011",75,2,14.2857142857143,7
"2012-2013",71.4,3,21.4285714285714,4.66666666666667
"2018-2019",66,4,28.5714285714286,3.5
"2020-2021",53.4,5,35.7142857142857,2.8
"2014-2015",52.2,6,42.8571428571429,2.33333333333333
"2015-2016",52.2,7,50,2
"2009-2010",51,8,57.1428571428571,1.75
"2011-2012",51,9,64.2857142857143,1.55555555555556
"2021-2022",48.6,10,71.4285714285714,1.4
"2019-2020",46.2,11,78.5714285714286,1.27272727272727
"2017-2018",42,12,85.7142857142857,1.16666666666667
"2016-2017",32.4,13,92.8571428571429,1.07692307692308
