Years,x10_min,rank,Probability,Frequency
"1996-1997",61.8,1,3.2258064516129,31
"2019-2020",61.2,2,6.45161290322581,15.5
"2006-2007",55.2,3,9.67741935483871,10.3333333333333
"2015-2016",51.6,4,12.9032258064516,7.75
"1999-2000",50.4,5,16.1290322580645,6.2
"2001-2002",50.4,6,19.3548387096774,5.16666666666667
"2017-2018",48.6,7,22.5806451612903,4.42857142857143
"2010-2011",46.8,8,25.8064516129032,3.875
"2021-2022",46.8,9,29.0322580645161,3.44444444444444
"2009-2010",45.6,10,32.258064516129,3.1
"2008-2009",43.8,11,35.4838709677419,2.81818181818182
"2000-2001",43.2,12,38.7096774193548,2.58333333333333
"1995-1996",42,13,41.9354838709677,2.38461538461538
"2016-2017",42,14,45.1612903225806,2.21428571428571
"2018-2019",40.8,15,48.3870967741936,2.06666666666667
"2013-2014",39,16,51.6129032258064,1.9375
"2014-2015",38.4,17,54.8387096774194,1.82352941176471
"2012-2013",37.8,18,58.0645161290323,1.72222222222222
"2004-2005",36.6,19,61.2903225806452,1.63157894736842
"2020-2021",36.6,20,64.5161290322581,1.55
"1993-1994",34.2,21,67.741935483871,1.47619047619048
"1997-1998",34.2,22,70.9677419354839,1.40909090909091
"2007-2008",31.2,23,74.1935483870968,1.34782608695652
"2002-2003",30.6,24,77.4193548387097,1.29166666666667
"2005-2006",30.6,25,80.6451612903226,1.24
"2011-2012",29.4,26,83.8709677419355,1.19230769230769
"1994-1995",24,27,87.0967741935484,1.14814814814815
"1992-1993",23.4,28,90.3225806451613,1.10714285714286
"1998-1999",22.8,29,93.5483870967742,1.06896551724138
"2003-2004",21,30,96.7741935483871,1.03333333333333
