Years,x10_min,rank,Probability,Frequency
"2017-2018",72,1,4,25
"2014-2015",68.4,2,8,12.5
"2010-2011",61.2,3,12,8.33333333333333
"2013-2014",55.8,4,16,6.25
"1998-1999",55.2,5,20,5
"2001-2002",55.2,6,24,4.16666666666667
"2018-2019",52.8,7,28,3.57142857142857
"2012-2013",50.4,8,32,3.125
"2020-2021",48.6,9,36,2.77777777777778
"2004-2005",47.4,10,40,2.5
"2019-2020",46.2,11,44,2.27272727272727
"2015-2016",44.4,12,48,2.08333333333333
"2009-2010",42.6,13,52,1.92307692307692
"1999-2000",42,14,56,1.78571428571429
"2011-2012",39.6,15,60,1.66666666666667
"2002-2003",38.4,16,64,1.5625
"2005-2006",30.6,17,68,1.47058823529412
"2016-2017",30.6,18,72,1.38888888888889
"2006-2007",29.4,19,76,1.31578947368421
"2021-2022",28.8,20,80,1.25
"2008-2009",28.2,21,84,1.19047619047619
"2000-2001",27,22,88,1.13636363636364
"2007-2008",25.8,23,92,1.08695652173913
"2003-2004",21,24,96,1.04166666666667
