Years,x1_5_hr,rank,Probability,Frequency
"2009-2010",25.93333333,1,4.54545454545455,22
"2015-2016",25.13333333,2,9.09090909090909,11
"2019-2020",21.86666667,3,13.6363636363636,7.33333333333333
"2012-2013",20.53333333,4,18.1818181818182,5.5
"2001-2002",20.33333333,5,22.7272727272727,4.4
"2002-2003",20.06666667,6,27.2727272727273,3.66666666666667
"2018-2019",18.33333333,7,31.8181818181818,3.14285714285714
"2010-2011",17.73333333,8,36.3636363636364,2.75
"2017-2018",17.2,9,40.9090909090909,2.44444444444444
"2014-2015",16.53333333,10,45.4545454545455,2.2
"2003-2004",14.66666667,11,50,2
"2004-2005",14.66666667,12,54.5454545454545,1.83333333333333
"2008-2009",14.13333333,13,59.0909090909091,1.69230769230769
"2011-2012",14.13333333,14,63.6363636363636,1.57142857142857
"2007-2008",13.93333333,15,68.1818181818182,1.46666666666667
"2020-2021",13.86666667,16,72.7272727272727,1.375
"2021-2022",11.33333333,17,77.2727272727273,1.29411764705882
"2006-2007",11,18,81.8181818181818,1.22222222222222
"2016-2017",10,19,86.3636363636364,1.15789473684211
"2005-2006",9.866666667,20,90.9090909090909,1.1
"2013-2014",6.933333333,21,95.4545454545455,1.04761904761905
