Years,x1_5_hr,rank,Probability,Frequency
"2011-2012",24.6,1,8.33333333333333,12
"2012-2013",13.3333333333333,2,16.6666666666667,6
"2017-2018",12.0666666666667,3,25,4
"2018-2019",11.3333333333333,4,33.3333333333333,3
"2016-2017",10.1333333333333,5,41.6666666666667,2.4
"2020-2021",9.93333333333333,6,50,2
"2013-2014",9.66666666666667,7,58.3333333333333,1.71428571428571
"2014-2015",9.53333333333333,8,66.6666666666667,1.5
"2019-2020",9.2,9,75,1.33333333333333
"2015-2016",8.73333333333333,10,83.3333333333333,1.2
"2021-2022",8.06666666666667,11,91.6666666666667,1.09090909090909
