Years,x1_5_hr,rank,Probability,Frequency
"2015-2016",19.5333333333333,1,6.25,16
"2017-2018",8.6,2,12.5,8
"2019-2020",7.8,3,18.75,5.33333333333333
"2010-2011",7.53333333333333,4,25,4
"2018-2019",6.93333333333333,5,31.25,3.2
"2013-2014",6.73333333333333,6,37.5,2.66666666666667
"2009-2010",6.4,7,43.75,2.28571428571429
"2012-2013",5.06666666666667,8,50,2
"2014-2015",4.26666666666667,9,56.25,1.77777777777778
"2020-2021",4.26666666666667,10,62.5,1.6
"2021-2022",4.26666666666667,11,68.75,1.45454545454545
"2008-2009",3.93333333333333,12,75,1.33333333333333
"2016-2017",3.8,13,81.25,1.23076923076923
"2007-2008",3.6,14,87.5,1.14285714285714
"2011-2012",3.13333333333333,15,93.75,1.06666666666667
