Years,x1_5_hr,rank,Probability,Frequency
"2016-2017",13.4,1,4.76190476190476,21
"2012-2013",11,2,9.52380952380952,10.5
"2021-2022",6.933333333,3,14.2857142857143,7
"2019-2020",6.733333333,4,19.047619047619,5.25
"2009-2010",5.866666667,5,23.8095238095238,4.2
"2017-2018",5.6,6,28.5714285714286,3.5
"2013-2014",4.866666667,7,33.3333333333333,3
"2020-2021",4.6,8,38.0952380952381,2.625
"2018-2019",3.733333333,9,42.8571428571429,2.33333333333333
"2003-2004",3.266666667,10,47.6190476190476,2.1
"2006-2007",3.266666667,11,52.3809523809524,1.90909090909091
"2010-2011",3.066666667,12,57.1428571428571,1.75
"2015-2016",3.066666667,13,61.9047619047619,1.61538461538462
"2002-2003",2.266666667,14,66.6666666666667,1.5
"2014-2015",1.6,15,71.4285714285714,1.4
"2008-2009",1.066666667,16,76.1904761904762,1.3125
"2005-2006",0.733333333,17,80.9523809523809,1.23529411764706
"2011-2012",0.666666667,18,85.7142857142857,1.16666666666667
"2004-2005",0.466666667,19,90.4761904761905,1.10526315789474
"2007-2008",0.466666667,20,95.2380952380952,1.05
