Years,x1_5_hr,rank,Probability,Frequency
"2008-2009",21.4,1,6.25,16
"2015-2016",17.8,2,12.5,8
"2009-2010",17.5333333333333,3,18.75,5.33333333333333
"2017-2018",17.2666666666667,4,25,4
"2018-2019",15.8,5,31.25,3.2
"2016-2017",14.6666666666667,6,37.5,2.66666666666667
"2020-2021",14.6,7,43.75,2.28571428571429
"2014-2015",14.2666666666667,8,50,2
"2019-2020",14.0666666666667,9,56.25,1.77777777777778
"2012-2013",13.9333333333333,10,62.5,1.6
"2013-2014",10.6,11,68.75,1.45454545454545
"2007-2008",10.2666666666667,12,75,1.33333333333333
"2011-2012",9.46666666666667,13,81.25,1.23076923076923
"2010-2011",8.4,14,87.5,1.14285714285714
"2021-2022",8.33333333333333,15,93.75,1.06666666666667
