Years,x1_5_hr,rank,Probability,Frequency
"2021-2022",26.2,1,5.26315789473684,19
"2009-2010",25.3333333333333,2,10.5263157894737,9.5
"2018-2019",23.4,3,15.7894736842105,6.33333333333333
"2012-2013",18.6,4,21.0526315789474,4.75
"2010-2011",18.4666666666667,5,26.3157894736842,3.8
"2007-2008",18.2,6,31.5789473684211,3.16666666666667
"2017-2018",18.1333333333333,7,36.8421052631579,2.71428571428571
"2019-2020",16.8666666666667,8,42.1052631578947,2.375
"2006-2007",16.2,9,47.3684210526316,2.11111111111111
"2015-2016",16,10,52.6315789473684,1.9
"2011-2012",16,11,57.8947368421053,1.72727272727273
"2020-2021",15.7333333333333,12,63.1578947368421,1.58333333333333
"2004-2005",14.2666666666667,13,68.4210526315789,1.46153846153846
"2005-2006",13.8,14,73.6842105263158,1.35714285714286
"2013-2014",12.8,15,78.9473684210526,1.26666666666667
"2014-2015",11.2666666666667,16,84.2105263157895,1.1875
"2016-2017",10.8666666666667,17,89.4736842105263,1.11764705882353
"2008-2009",8.26666666666667,18,94.7368421052632,1.05555555555556
