Years,x1_5_hr,rank,Probability,Frequency
"2005-2006",14.8666666666667,1,4.54545454545455,22
"2009-2010",13.9333333333333,2,9.09090909090909,11
"2017-2018",13.5333333333333,3,13.6363636363636,7.33333333333333
"2014-2015",13.4666666666667,4,18.1818181818182,5.5
"2011-2012",12.9333333333333,5,22.7272727272727,4.4
"2003-2004",12.6666666666667,6,27.2727272727273,3.66666666666667
"2015-2016",11.6666666666667,7,31.8181818181818,3.14285714285714
"2020-2021",11.5333333333333,8,36.3636363636364,2.75
"2012-2013",11.2666666666667,9,40.9090909090909,2.44444444444444
"2016-2017",11.1333333333333,10,45.4545454545455,2.2
"2018-2019",10.9333333333333,11,50,2
"2002-2003",10.6,12,54.5454545454545,1.83333333333333
"2004-2005",10.3333333333333,13,59.0909090909091,1.69230769230769
"2008-2009",9.73333333333333,14,63.6363636363636,1.57142857142857
"2001-2002",9.53333333333333,15,68.1818181818182,1.46666666666667
"2021-2022",9.46666666666667,16,72.7272727272727,1.375
"2013-2014",8.6,17,77.2727272727273,1.29411764705882
"2006-2007",8.46666666666667,18,81.8181818181818,1.22222222222222
"2019-2020",8.26666666666667,19,86.3636363636364,1.15789473684211
"2010-2011",7.46666666666667,20,90.9090909090909,1.1
"2007-2008",7.4,21,95.4545454545455,1.04761904761905
