Years,x1_5_hr,rank,Probability,Frequency
"2013-2014",14.9333333333333,1,4,25
"2002-2003",14.8666666666667,2,8,12.5
"2005-2006",14.4666666666667,3,12,8.33333333333333
"2012-2013",14.2666666666667,4,16,6.25
"2016-2017",13.6666666666667,5,20,5
"2019-2020",13.4,6,24,4.16666666666667
"2004-2005",12.8666666666667,7,28,3.57142857142857
"2006-2007",12.6,8,32,3.125
"2021-2022",12.4666666666667,9,36,2.77777777777778
"2015-2016",12.3333333333333,10,40,2.5
"2018-2019",12.3333333333333,11,44,2.27272727272727
"2020-2021",12.2666666666667,12,48,2.08333333333333
"2010-2011",11.9333333333333,13,52,1.92307692307692
"2017-2018",11.8,14,56,1.78571428571429
"2000-2001",11.6666666666667,15,60,1.66666666666667
"2009-2010",11.6666666666667,16,64,1.5625
"2007-2008",11.3333333333333,17,68,1.47058823529412
"1999-2000",11,18,72,1.38888888888889
"2003-2004",10.8666666666667,19,76,1.31578947368421
"2001-2002",10.6,20,80,1.25
"2011-2012",10.0666666666667,21,84,1.19047619047619
"2014-2015",9.86666666666667,22,88,1.13636363636364
"2008-2009",9.2,23,92,1.08695652173913
"1998-1999",8.86666666666667,24,96,1.04166666666667
