Years,x1_5_hr,rank,Probability,Frequency
"2020-2021",31.4666666666667,1,7.14285714285714,14
"2021-2022",28.7333333333333,2,14.2857142857143,7
"2010-2011",26.6666666666667,3,21.4285714285714,4.66666666666667
"2013-2014",20,4,28.5714285714286,3.5
"2019-2020",19.5333333333333,5,35.7142857142857,2.8
"2018-2019",17.5333333333333,6,42.8571428571429,2.33333333333333
"2012-2013",17.2666666666667,7,50,2
"2015-2016",16.8666666666667,8,57.1428571428571,1.75
"2017-2018",15.2666666666667,9,64.2857142857143,1.55555555555556
"2014-2015",14.5333333333333,10,71.4285714285714,1.4
"2011-2012",13.2666666666667,11,78.5714285714286,1.27272727272727
"2009-2010",10.7333333333333,12,85.7142857142857,1.16666666666667
"2016-2017",9.46666666666667,13,92.8571428571429,1.07692307692308
