Years,x1_5_hr,rank,Probability,Frequency
"2017-2018",13.8666666666667,1,8.33333333333333,12
"2020-2021",10.9333333333333,2,16.6666666666667,6
"2011-2012",10.4,3,25,4
"2015-2016",10.1333333333333,4,33.3333333333333,3
"2018-2019",9.4,5,41.6666666666667,2.4
"2014-2015",8.6,6,50,2
"2016-2017",8.2,7,58.3333333333333,1.71428571428571
"2019-2020",8.2,8,66.6666666666667,1.5
"2013-2014",7.53333333333333,9,75,1.33333333333333
"2021-2022",7.26666666666667,10,83.3333333333333,1.2
"2012-2013",6,11,91.6666666666667,1.09090909090909
