Years,x1_5_hr,rank,Probability,Frequency
"2004-2005",28.0666666666667,1,4,25
"2008-2009",14.2,2,8,12.5
"2013-2014",12.6,3,12,8.33333333333333
"2020-2021",10.4666666666667,4,16,6.25
"2015-2016",7.6,5,20,5
"2016-2017",7.6,6,24,4.16666666666667
"2019-2020",6.4,7,28,3.57142857142857
"2000-2001",6.13333333333333,8,32,3.125
"2017-2018",5.6,9,36,2.77777777777778
"1998-1999",5.33333333333333,10,40,2.5
"2001-2002",5.06666666666667,11,44,2.27272727272727
"2009-2010",4.33333333333333,12,48,2.08333333333333
"2012-2013",4.06666666666667,13,52,1.92307692307692
"2010-2011",3.93333333333333,14,56,1.78571428571429
"2003-2004",3.73333333333333,15,60,1.66666666666667
"2005-2006",3.73333333333333,16,64,1.5625
"2006-2007",3.66666666666667,17,68,1.47058823529412
"2018-2019",3.46666666666667,18,72,1.38888888888889
"2021-2022",2.73333333333333,19,76,1.31578947368421
"2007-2008",2.4,20,80,1.25
"2014-2015",2.4,21,84,1.19047619047619
"2002-2003",2.13333333333333,22,88,1.13636363636364
"2011-2012",2.13333333333333,23,92,1.08695652173913
"1999-2000",1.33333333333333,24,96,1.04166666666667
