Years,x1_5_hr,rank,Probability,Frequency
"2013-2014",21.8,1,4.16666666666667,24
"2000-2001",20.3333333333333,2,8.33333333333333,12
"2015-2016",13.4666666666667,3,12.5,8
"2008-2009",12.2666666666667,4,16.6666666666667,6
"2004-2005",11.9333333333333,5,20.8333333333333,4.8
"2019-2020",11.1333333333333,6,25,4
"2014-2015",11.0666666666667,7,29.1666666666667,3.42857142857143
"2009-2010",10.9333333333333,8,33.3333333333333,3
"2017-2018",10.9333333333333,9,37.5,2.66666666666667
"2011-2012",9.4,10,41.6666666666667,2.4
"2018-2019",9.2,11,45.8333333333333,2.18181818181818
"2021-2022",9.13333333333333,12,50,2
"2016-2017",8.2,13,54.1666666666667,1.84615384615385
"2020-2021",7.86666666666667,14,58.3333333333333,1.71428571428571
"2007-2008",7.53333333333333,15,62.5,1.6
"2012-2013",7.2,16,66.6666666666667,1.5
"2010-2011",7.2,17,70.8333333333333,1.41176470588235
"2005-2006",6.53333333333333,18,75,1.33333333333333
"2001-2002",6.2,19,79.1666666666667,1.26315789473684
"2003-2004",6.13333333333333,20,83.3333333333333,1.2
"2002-2003",5.66666666666667,21,87.5,1.14285714285714
"1999-2000",5.06666666666667,22,91.6666666666667,1.09090909090909
"2006-2007",3.26666666666667,23,95.8333333333333,1.04347826086957
