Years,x1_5_hr,rank,Probability,Frequency
"2012-2013",39.8,1,7.14285714285714,14
"2017-2018",25.5333333333333,2,14.2857142857143,7
"2019-2020",22.6666666666667,3,21.4285714285714,4.66666666666667
"2014-2015",20.2,4,28.5714285714286,3.5
"2010-2011",20.0666666666667,5,35.7142857142857,2.8
"2021-2022",17.8,6,42.8571428571429,2.33333333333333
"2011-2012",17.6,7,50,2
"2020-2021",17.2,8,57.1428571428571,1.75
"2016-2017",15.3333333333333,9,64.2857142857143,1.55555555555556
"2009-2010",15.2666666666667,10,71.4285714285714,1.4
"2013-2014",13.3333333333333,11,78.5714285714286,1.27272727272727
"2018-2019",13,12,85.7142857142857,1.16666666666667
"2015-2016",8.33333333333333,13,92.8571428571429,1.07692307692308
