Years,x1_5_hr,rank,Probability,Frequency
"2009-2010",18.5333333333333,1,5.55555555555556,18
"2015-2016",15.2,2,11.1111111111111,9
"2005-2006",12.2,3,16.6666666666667,6
"2013-2014",10.1333333333333,4,22.2222222222222,4.5
"2020-2021",8.73333333333333,5,27.7777777777778,3.6
"2006-2007",7.26666666666667,6,33.3333333333333,3
"2007-2008",6.93333333333333,7,38.8888888888889,2.57142857142857
"2010-2011",6.86666666666667,8,44.4444444444444,2.25
"2012-2013",6.26666666666667,9,50,2
"2014-2015",6.26666666666667,10,55.5555555555556,1.8
"2021-2022",6.26666666666667,11,61.1111111111111,1.63636363636364
"2008-2009",5.93333333333333,12,66.6666666666667,1.5
"2019-2020",5.6,13,72.2222222222222,1.38461538461538
"2018-2019",5.2,14,77.7777777777778,1.28571428571429
"2016-2017",5.06666666666667,15,83.3333333333333,1.2
"2017-2018",4.13333333333333,16,88.8888888888889,1.125
"2011-2012",3.26666666666667,17,94.4444444444444,1.05882352941176
