Years,x1_hr,rank,Probability,Frequency
"2009-2010",38.9,1,4.54545454545455,22
"2012-2013",28.7,2,9.09090909090909,11
"2001-2002",28.6,3,13.6363636363636,7.33333333333333
"2002-2003",27.2,4,18.1818181818182,5.5
"2015-2016",26.8,5,22.7272727272727,4.4
"2018-2019",25.6,6,27.2727272727273,3.66666666666667
"2019-2020",24.5,7,31.8181818181818,3.14285714285714
"2010-2011",21.9,8,36.3636363636364,2.75
"2004-2005",20.7,9,40.9090909090909,2.44444444444444
"2007-2008",19,10,45.4545454545455,2.2
"2020-2021",18.9,11,50,2
"2011-2012",18.8,12,54.5454545454545,1.83333333333333
"2014-2015",18.6,13,59.0909090909091,1.69230769230769
"2008-2009",18.5,14,63.6363636363636,1.57142857142857
"2017-2018",18.5,15,68.1818181818182,1.46666666666667
"2006-2007",15.4,16,72.7272727272727,1.375
"2003-2004",14.3,17,77.2727272727273,1.29411764705882
"2021-2022",13.7,18,81.8181818181818,1.22222222222222
"2005-2006",12.4,19,86.3636363636364,1.15789473684211
"2016-2017",11,20,90.9090909090909,1.1
"2013-2014",9.3,21,95.4545454545455,1.04761904761905
