Years,x1_hr,rank,Probability,Frequency
"1997-1998",43.18,1,3.7037037037037,27
"2009-2010",35.2,2,7.40740740740741,13.5
"1996-1997",33.274,3,11.1111111111111,9
"2016-2017",22.5,4,14.8148148148148,6.75
"2004-2005",18.2,5,18.5185185185185,5.4
"2018-2019",17.4,6,22.2222222222222,4.5
"2001-2002",17.1,7,25.9259259259259,3.85714285714286
"2017-2018",17.1,8,29.6296296296296,3.375
"2005-2006",15.9,9,33.3333333333333,3
"2012-2013",14.4,10,37.037037037037,2.7
"2013-2014",14.4,11,40.7407407407407,2.45454545454545
"1998-1999",14.3,12,44.4444444444444,2.25
"2008-2009",13.6,13,48.1481481481481,2.07692307692308
"2019-2020",12.2,14,51.8518518518518,1.92857142857143
"2006-2007",11.9,15,55.5555555555556,1.8
"2011-2012",11.8,16,59.2592592592593,1.6875
"2015-2016",11.7,17,62.962962962963,1.58823529411765
"2002-2003",11.4,18,66.6666666666667,1.5
"2020-2021",10.6,19,70.3703703703704,1.42105263157895
"1999-2000",10.2,20,74.0740740740741,1.35
"2000-2001",9.8,21,77.7777777777778,1.28571428571429
"2010-2011",9.8,22,81.4814814814815,1.22727272727273
"2021-2022",9.4,23,85.1851851851852,1.17391304347826
"2014-2015",9.4,24,88.8888888888889,1.125
"2003-2004",8.2,25,92.5925925925926,1.08
"2007-2008",8.1,26,96.2962962962963,1.03846153846154
