Years,x1_hr,rank,Probability,Frequency
"2017-2018",28.7,1,5.55555555555556,18
"2008-2009",19.4,2,11.1111111111111,9
"2018-2019",14.2,3,16.6666666666667,6
"2015-2016",13.9,4,22.2222222222222,4.5
"2011-2012",13.8,5,27.7777777777778,3.6
"2006-2007",11.4,6,33.3333333333333,3
"2021-2022",11,7,38.8888888888889,2.57142857142857
"2007-2008",10.9,8,44.4444444444444,2.25
"2012-2013",10.7,9,50,2
"2019-2020",10.3,10,55.5555555555556,1.8
"2009-2010",10.2,11,61.1111111111111,1.63636363636364
"2016-2017",10,12,66.6666666666667,1.5
"2010-2011",9.5,13,72.2222222222222,1.38461538461538
"2014-2015",9.4,14,77.7777777777778,1.28571428571429
"2020-2021",9.1,15,83.3333333333333,1.2
"1993-1994",8.5,16,88.8888888888889,1.125
"2013-2014",7.8,17,94.4444444444444,1.05882352941176
