Years,x1_hr,rank,Probability,Frequency
"2002-2003",38.7,1,3.84615384615385,26
"1998-1999",34.3,2,7.69230769230769,13
"2007-2008",31,3,11.5384615384615,8.66666666666667
"2005-2006",30.9,4,15.3846153846154,6.5
"2010-2011",27.3,5,19.2307692307692,5.2
"2013-2014",27.2,6,23.0769230769231,4.33333333333333
"2011-2012",26.9,7,26.9230769230769,3.71428571428571
"2001-2002",26.4,8,30.7692307692308,3.25
"2006-2007",23.7,9,34.6153846153846,2.88888888888889
"2009-2010",23.4,10,38.4615384615385,2.6
"2003-2004",23.1,11,42.3076923076923,2.36363636363636
"2018-2019",23.1,12,46.1538461538462,2.16666666666667
"2019-2020",22.8,13,50,2
"2014-2015",20.2,14,53.8461538461538,1.85714285714286
"2020-2021",19.6,15,57.6923076923077,1.73333333333333
"2000-2001",18.7,16,61.5384615384615,1.625
"2021-2022",17.9,17,65.3846153846154,1.52941176470588
"2016-2017",17,18,69.2307692307692,1.44444444444444
"2012-2013",16.4,19,73.0769230769231,1.36842105263158
"2015-2016",15.9,20,76.9230769230769,1.3
"2017-2018",14.1,21,80.7692307692308,1.23809523809524
"1999-2000",14,22,84.6153846153846,1.18181818181818
"2008-2009",12.7,23,88.4615384615385,1.1304347826087
"1997-1998",12.6,24,92.3076923076923,1.08333333333333
"2004-2005",12.3,25,96.1538461538462,1.04
