Years,x1_hr,rank,Probability,Frequency
"2008-2009",80,1,4.54545454545455,22
"2017-2018",47.3,2,9.09090909090909,11
"2012-2013",40.6,3,13.6363636363636,7.33333333333333
"2003-2004",31.8,4,18.1818181818182,5.5
"2020-2021",30.4,5,22.7272727272727,4.4
"2021-2022",30.2,6,27.2727272727273,3.66666666666667
"2011-2012",27.7,7,31.8181818181818,3.14285714285714
"2019-2020",25.2,8,36.3636363636364,2.75
"2002-2003",24.8,9,40.9090909090909,2.44444444444444
"2001-2002",24.2,10,45.4545454545455,2.2
"2007-2008",22.5,11,50,2
"2014-2015",21.9,12,54.5454545454545,1.83333333333333
"2016-2017",21.2,13,59.0909090909091,1.69230769230769
"2018-2019",21.2,14,63.6363636363636,1.57142857142857
"2015-2016",20.9,15,68.1818181818182,1.46666666666667
"2004-2005",20.6,16,72.7272727272727,1.375
"2010-2011",18.2,17,77.2727272727273,1.29411764705882
"2009-2010",16.3,18,81.8181818181818,1.22222222222222
"2013-2014",15.9,19,86.3636363636364,1.15789473684211
"2006-2007",13.8,20,90.9090909090909,1.1
"2005-2006",12.5,21,95.4545454545455,1.04761904761905
