Years,x1_hr,rank,Probability,Frequency
"2005-2006",26.4,1,4.76190476190476,21
"2008-2009",20.5,2,9.52380952380952,10.5
"2021-2022",16,3,14.2857142857143,7
"2014-2015",14.6,4,19.047619047619,5.25
"2017-2018",14.3,5,23.8095238095238,4.2
"2002-2003",13.3,6,28.5714285714286,3.5
"2016-2017",12.5,7,33.3333333333333,3
"2018-2019",11.5,8,38.0952380952381,2.625
"2006-2007",11.4,9,42.8571428571429,2.33333333333333
"2009-2010",11,10,47.6190476190476,2.1
"2012-2013",10.6,11,52.3809523809524,1.90909090909091
"2004-2005",9.9,12,57.1428571428571,1.75
"2019-2020",9.8,13,61.9047619047619,1.61538461538462
"2003-2004",9.5,14,66.6666666666667,1.5
"2020-2021",9.1,15,71.4285714285714,1.4
"2007-2008",8.8,16,76.1904761904762,1.3125
"2010-2011",8.6,17,80.9523809523809,1.23529411764706
"2011-2012",8.5,18,85.7142857142857,1.16666666666667
"2013-2014",7.3,19,90.4761904761905,1.10526315789474
"2015-2016",7.1,20,95.2380952380952,1.05
