Years,x1_hr,rank,Probability,Frequency
"2011-2012",44.9,1,5.55555555555556,18
"2012-2013",22.8,2,11.1111111111111,9
"2005-2006",22.2,3,16.6666666666667,6
"2017-2018",21.1,4,22.2222222222222,4.5
"2019-2020",20.7,5,27.7777777777778,3.6
"2015-2016",18.9,6,33.3333333333333,3
"2014-2015",15.1,7,38.8888888888889,2.57142857142857
"2009-2010",14.2,8,44.4444444444444,2.25
"2018-2019",14.1,9,50,2
"2010-2011",13,10,55.5555555555556,1.8
"2013-2014",12.5,11,61.1111111111111,1.63636363636364
"2021-2022",10.7,12,66.6666666666667,1.5
"2007-2008",10.3,13,72.2222222222222,1.38461538461538
"2020-2021",9.8,14,77.7777777777778,1.28571428571429
"2006-2007",9.3,15,83.3333333333333,1.2
"2016-2017",9.2,16,88.8888888888889,1.125
"2008-2009",8.4,17,94.4444444444444,1.05882352941176
