Years,x1_hr,rank,Probability,Frequency
"2004-2005",18.4,1,4,25
"2005-2006",18.3,2,8,12.5
"2013-2014",18,3,12,8.33333333333333
"2012-2013",17.2,4,16,6.25
"2020-2021",16.8,5,20,5
"2007-2008",15.5,6,24,4.16666666666667
"2002-2003",14.9,7,28,3.57142857142857
"2009-2010",14.1,8,32,3.125
"2001-2002",14,9,36,2.77777777777778
"2006-2007",14,10,40,2.5
"2010-2011",13.9,11,44,2.27272727272727
"2019-2020",13.8,12,48,2.08333333333333
"2016-2017",13.7,13,52,1.92307692307692
"2018-2019",13.5,14,56,1.78571428571429
"2017-2018",13.3,15,60,1.66666666666667
"2021-2022",13.1,16,64,1.5625
"2015-2016",13,17,68,1.47058823529412
"1999-2000",12.9,18,72,1.38888888888889
"2000-2001",12.9,19,76,1.31578947368421
"1998-1999",12.6,20,80,1.25
"2003-2004",11.7,21,84,1.19047619047619
"2014-2015",11.7,22,88,1.13636363636364
"2011-2012",11.4,23,92,1.08695652173913
"2008-2009",10.6,24,96,1.04166666666667
