Years,x1_hr,rank,Probability,Frequency
"2015-2016",23.5,1,3.2258064516129,31
"2001-2002",21.6,2,6.45161290322581,15.5
"2008-2009",20.9,3,9.67741935483871,10.3333333333333
"2009-2010",20.5,4,12.9032258064516,7.75
"2019-2020",19.7,5,16.1290322580645,6.2
"2018-2019",18.6,6,19.3548387096774,5.16666666666667
"1996-1997",18.2,7,22.5806451612903,4.42857142857143
"2002-2003",17.9,8,25.8064516129032,3.875
"2017-2018",17.7,9,29.0322580645161,3.44444444444444
"2005-2006",17.4,10,32.258064516129,3.1
"2010-2011",16.9,11,35.4838709677419,2.81818181818182
"2000-2001",16.2,12,38.7096774193548,2.58333333333333
"2013-2014",14.9,13,41.9354838709677,2.38461538461538
"1999-2000",14.6,14,45.1612903225806,2.21428571428571
"2006-2007",14.4,15,48.3870967741936,2.06666666666667
"1992-1993",14.1,16,51.6129032258064,1.9375
"2003-2004",13.4,17,54.8387096774194,1.82352941176471
"2020-2021",13.3,18,58.0645161290323,1.72222222222222
"2012-2013",12.5,19,61.2903225806452,1.63157894736842
"2016-2017",12.3,20,64.5161290322581,1.55
"2004-2005",12.3,21,67.741935483871,1.47619047619048
"2014-2015",12.1,22,70.9677419354839,1.40909090909091
"1995-1996",11.1,23,74.1935483870968,1.34782608695652
"2007-2008",11.1,24,77.4193548387097,1.29166666666667
"1997-1998",10.9,25,80.6451612903226,1.24
"2021-2022",10.9,26,83.8709677419355,1.19230769230769
"1994-1995",10.25,27,87.0967741935484,1.14814814814815
"1993-1994",9.3,28,90.3225806451613,1.10714285714286
"1998-1999",9.2,29,93.5483870967742,1.06896551724138
"2011-2012",8.3,30,96.7741935483871,1.03333333333333
