Years,x1_hr,rank,Probability,Frequency
"2019-2020",61.8,1,5.55555555555556,18
"2020-2021",34.1,2,11.1111111111111,9
"2005-2006",33.3,3,16.6666666666667,6
"2011-2012",24.8,4,22.2222222222222,4.5
"2021-2022",24.6,5,27.7777777777778,3.6
"2006-2007",23.4,6,33.3333333333333,3
"2017-2018",22.8,7,38.8888888888889,2.57142857142857
"2015-2016",22.6,8,44.4444444444444,2.25
"2014-2015",22,9,50,2
"2009-2010",19.5,10,55.5555555555556,1.8
"2012-2013",16.6,11,61.1111111111111,1.63636363636364
"2010-2011",15.9,12,66.6666666666667,1.5
"2008-2009",15.3,13,72.2222222222222,1.38461538461538
"2018-2019",14.8,14,77.7777777777778,1.28571428571429
"2016-2017",13.7,15,83.3333333333333,1.2
"2007-2008",11.9,16,88.8888888888889,1.125
"2013-2014",11.7,17,94.4444444444444,1.05882352941176
