Years,x1_hr,rank,Probability,Frequency
"2017-2018",25.2,1,4,25
"2012-2013",23.1,2,8,12.5
"2001-2002",21.5,3,12,8.33333333333333
"2010-2011",19.7,4,16,6.25
"2009-2010",19.4,5,20,5
"2015-2016",19.3,6,24,4.16666666666667
"2013-2014",18.3,7,28,3.57142857142857
"2011-2012",17.1,8,32,3.125
"2019-2020",16.2,9,36,2.77777777777778
"2020-2021",15.9,10,40,2.5
"2014-2015",15.8,11,44,2.27272727272727
"2002-2003",15.3,12,48,2.08333333333333
"2003-2004",14.7,13,52,1.92307692307692
"2004-2005",14.5,14,56,1.78571428571429
"2005-2006",14.5,15,60,1.66666666666667
"2006-2007",13.9,16,64,1.5625
"2008-2009",13.8,17,68,1.47058823529412
"1998-1999",12.3,18,72,1.38888888888889
"2018-2019",11.6,19,76,1.31578947368421
"2000-2001",10.2,20,80,1.25
"1999-2000",10.2,21,84,1.19047619047619
"2021-2022",9.6,22,88,1.13636363636364
"2016-2017",9.2,23,92,1.08695652173913
"2007-2008",8.3,24,96,1.04166666666667
