Years,x1_hr,rank,Probability,Frequency
"2009-2010",21.4,1,5.55555555555556,18
"2015-2016",18.9,2,11.1111111111111,9
"2005-2006",15.7,3,16.6666666666667,6
"2013-2014",12.8,4,22.2222222222222,4.5
"2020-2021",11.4,5,27.7777777777778,3.6
"2007-2008",10.4,6,33.3333333333333,3
"2014-2015",8.7,7,38.8888888888889,2.57142857142857
"2006-2007",8,8,44.4444444444444,2.25
"2012-2013",7.6,9,50,2
"2016-2017",7.6,10,55.5555555555556,1.8
"2021-2022",7.2,11,61.1111111111111,1.63636363636364
"2010-2011",6.8,12,66.6666666666667,1.5
"2019-2020",6.8,13,72.2222222222222,1.38461538461538
"2018-2019",6.6,14,77.7777777777778,1.28571428571429
"2008-2009",6.6,15,83.3333333333333,1.2
"2017-2018",5.9,16,88.8888888888889,1.125
"2011-2012",4.8,17,94.4444444444444,1.05882352941176
