Years,x20_min,rank,Probability,Frequency
"2000-2001",58.8,1,3.57142857142857,28
"2006-2007",58.8,2,7.14285714285714,14
"2007-2008",50.4,3,10.7142857142857,9.33333333333333
"2020-2021",45,4,14.2857142857143,7
"1997-1998",38.1,5,17.8571428571429,5.6
"2011-2012",37.5,6,21.4285714285714,4.66666666666667
"2005-2006",35.1,7,25,4
"2014-2015",35.1,8,28.5714285714286,3.5
"2001-2002",34.8,9,32.1428571428571,3.11111111111111
"2013-2014",34.8,10,35.7142857142857,2.8
"2003-2004",33.6,11,39.2857142857143,2.54545454545455
"2016-2017",28.2,12,42.8571428571429,2.33333333333333
"2018-2019",27.6,13,46.4285714285714,2.15384615384615
"2017-2018",27,14,50,2
"2009-2010",26.1,15,53.5714285714286,1.86666666666667
"2002-2003",25.5,16,57.1428571428571,1.75
"2021-2022",24.6,17,60.7142857142857,1.64705882352941
"2008-2009",24.3,18,64.2857142857143,1.55555555555556
"2019-2020",23.1,19,67.8571428571429,1.47368421052632
"2012-2013",22.8,20,71.4285714285714,1.4
"2015-2016",22.2,21,75,1.33333333333333
"2010-2011",21.6,22,78.5714285714286,1.27272727272727
"1996-1997",17.7,23,82.1428571428571,1.21739130434783
"1995-1996",16.8,24,85.7142857142857,1.16666666666667
"2004-2005",16.5,25,89.2857142857143,1.12
"1999-2000",13.2,26,92.8571428571429,1.07692307692308
"1998-1999",2.4,27,96.4285714285714,1.03703703703704
