Years,x20_min,rank,Probability,Frequency
"2019-2020",63.6,1,5.26315789473684,19
"2014-2015",60.9,2,10.5263157894737,9.5
"2011-2012",50.1,3,15.7894736842105,6.33333333333333
"2006-2007",44.7,4,21.0526315789474,4.75
"2008-2009",42.9,5,26.3157894736842,3.8
"2021-2022",40.8,6,31.5789473684211,3.16666666666667
"2015-2016",37.5,7,36.8421052631579,2.71428571428571
"2012-2013",37.2,8,42.1052631578947,2.375
"2009-2010",36.6,9,47.3684210526316,2.11111111111111
"2010-2011",36.3,10,52.6315789473684,1.9
"2020-2021",35.7,11,57.8947368421053,1.72727272727273
"2017-2018",33.9,12,63.1578947368421,1.58333333333333
"2018-2019",30.3,13,68.4210526315789,1.46153846153846
"2016-2017",30.3,14,73.6842105263158,1.35714285714286
"2005-2006",30,15,78.9473684210526,1.26666666666667
"2004-2005",28.5,16,84.2105263157895,1.1875
"2013-2014",26.4,17,89.4736842105263,1.11764705882353
"2007-2008",20.7,18,94.7368421052632,1.05555555555556
