Years,x20_min,rank,Probability,Frequency
"2015-2016",86.4,1,6.25,16
"2013-2014",29.7,2,12.5,8
"2010-2011",29.4,3,18.75,5.33333333333333
"2019-2020",25.5,4,25,4
"2017-2018",21.6,5,31.25,3.2
"2018-2019",20.1,6,37.5,2.66666666666667
"2012-2013",18.3,7,43.75,2.28571428571429
"2014-2015",18,8,50,2
"2008-2009",17.4,9,56.25,1.77777777777778
"2009-2010",15.9,10,62.5,1.6
"2007-2008",9.9,11,68.75,1.45454545454545
"2011-2012",9.6,12,75,1.33333333333333
"2016-2017",7.5,13,81.25,1.23076923076923
"2021-2022",6.6,14,87.5,1.14285714285714
"2020-2021",5.7,15,93.75,1.06666666666667
