Years,x20_min,rank,Probability,Frequency
"2017-2018",63.6,1,5.55555555555556,18
"2008-2009",43.8,2,11.1111111111111,9
"2015-2016",38.1,3,16.6666666666667,6
"2006-2007",33.9,4,22.2222222222222,4.5
"2011-2012",31.2,5,27.7777777777778,3.6
"2007-2008",30.9,6,33.3333333333333,3
"2019-2020",28.8,7,38.8888888888889,2.57142857142857
"2014-2015",27,8,44.4444444444444,2.25
"2018-2019",27,9,50,2
"2012-2013",25.5,10,55.5555555555556,1.8
"1993-1994",24.3,11,61.1111111111111,1.63636363636364
"2013-2014",21.3,12,66.6666666666667,1.5
"2009-2010",19.5,13,72.2222222222222,1.38461538461538
"2010-2011",19.2,14,77.7777777777778,1.28571428571429
"2020-2021",18.3,15,83.3333333333333,1.2
"2021-2022",17.4,16,88.8888888888889,1.125
"2016-2017",15.9,17,94.4444444444444,1.05882352941176
