Years,x20_min,rank,Probability,Frequency
"2009-2010",42.6,1,7.14285714285714,14
"2013-2014",25.8,2,14.2857142857143,7
"2014-2015",18.9,3,21.4285714285714,4.66666666666667
"2021-2022",17.7,4,28.5714285714286,3.5
"2012-2013",15,5,35.7142857142857,2.8
"2017-2018",13.8,6,42.8571428571429,2.33333333333333
"2019-2020",13.2,7,50,2
"2015-2016",12.6,8,57.1428571428571,1.75
"2018-2019",12.3,9,64.2857142857143,1.55555555555556
"2011-2012",10.2,10,71.4285714285714,1.4
"2010-2011",9.6,11,78.5714285714286,1.27272727272727
"2020-2021",6.9,12,85.7142857142857,1.16666666666667
"2016-2017",6,13,92.8571428571429,1.07692307692308
