Years,x20_min,rank,Probability,Frequency
"2007-2008",57.6,1,5.88235294117647,17
"2020-2021",55.8,2,11.7647058823529,8.5
"2015-2016",52.2,3,17.6470588235294,5.66666666666667
"2009-2010",50.1,4,23.5294117647059,4.25
"2012-2013",48,5,29.4117647058824,3.4
"2010-2011",47.1,6,35.2941176470588,2.83333333333333
"2019-2020",44.7,7,41.1764705882353,2.42857142857143
"2011-2012",44.1,8,47.0588235294118,2.125
"2018-2019",41.1,9,52.9411764705882,1.88888888888889
"2014-2015",40.2,10,58.8235294117647,1.7
"2017-2018",39.6,11,64.7058823529412,1.54545454545455
"2008-2009",32.1,12,70.5882352941177,1.41666666666667
"2006-2007",30,13,76.4705882352941,1.30769230769231
"2021-2022",25.2,14,82.3529411764706,1.21428571428571
"2016-2017",23.7,15,88.2352941176471,1.13333333333333
"2013-2014",21.9,16,94.1176470588235,1.0625
