Years,x20_min,rank,Probability,Frequency
"2008-2009",104.1,1,4.54545454545455,22
"2012-2013",68.1,2,9.09090909090909,11
"2017-2018",62.1,3,13.6363636363636,7.33333333333333
"2021-2022",61.2,4,18.1818181818182,5.5
"2003-2004",60,5,22.7272727272727,4.4
"2019-2020",51.9,6,27.2727272727273,3.66666666666667
"2015-2016",50.4,7,31.8181818181818,3.14285714285714
"2020-2021",46.8,8,36.3636363636364,2.75
"2002-2003",44.7,9,40.9090909090909,2.44444444444444
"2016-2017",43.5,10,45.4545454545455,2.2
"2014-2015",41.4,11,50,2
"2001-2002",40.5,12,54.5454545454545,1.83333333333333
"2004-2005",40.2,13,59.0909090909091,1.69230769230769
"2007-2008",39.6,14,63.6363636363636,1.57142857142857
"2011-2012",39.3,15,68.1818181818182,1.46666666666667
"2010-2011",35.4,16,72.7272727272727,1.375
"2018-2019",33.3,17,77.2727272727273,1.29411764705882
"2009-2010",33,18,81.8181818181818,1.22222222222222
"2005-2006",32.1,19,86.3636363636364,1.15789473684211
"2006-2007",28.5,20,90.9090909090909,1.1
"2013-2014",26.7,21,95.4545454545455,1.04761904761905
