Years,x20_min,rank,Probability,Frequency
"2011-2012",53.1,1,5.55555555555556,18
"2012-2013",37.5,2,11.1111111111111,9
"2014-2015",36.9,3,16.6666666666667,6
"2019-2020",36.9,4,22.2222222222222,4.5
"2005-2006",34.8,5,27.7777777777778,3.6
"2015-2016",33.3,6,33.3333333333333,3
"2018-2019",31.5,7,38.8888888888889,2.57142857142857
"2021-2022",30.9,8,44.4444444444444,2.25
"2017-2018",24.9,9,50,2
"2007-2008",24,10,55.5555555555556,1.8
"2009-2010",22.5,11,61.1111111111111,1.63636363636364
"2010-2011",22.2,12,66.6666666666667,1.5
"2006-2007",21.3,13,72.2222222222222,1.38461538461538
"2008-2009",21,14,77.7777777777778,1.28571428571429
"2013-2014",19.2,15,83.3333333333333,1.2
"2020-2021",15.3,16,88.8888888888889,1.125
"2016-2017",12.9,17,94.4444444444444,1.05882352941176
