Years,x20_min,rank,Probability,Frequency
"2008-2009",63.9,1,6.25,16
"2012-2013",40.2,2,12.5,8
"2009-2010",37.2,3,18.75,5.33333333333333
"2013-2014",35.4,4,25,4
"2020-2021",33.3,5,31.25,3.2
"2016-2017",27.9,6,37.5,2.66666666666667
"2018-2019",26.7,7,43.75,2.28571428571429
"2021-2022",24.3,8,50,2
"2017-2018",22.8,9,56.25,1.77777777777778
"2007-2008",22.8,10,62.5,1.6
"2015-2016",21.9,11,68.75,1.45454545454545
"2019-2020",20.7,12,75,1.33333333333333
"2011-2012",18.9,13,81.25,1.23076923076923
"2014-2015",17.7,14,87.5,1.14285714285714
"2010-2011",15,15,93.75,1.06666666666667
