Years,x20_min,rank,Probability,Frequency
"2008-2009",52.5,1,5.55555555555556,18
"2007-2008",46.5,2,11.1111111111111,9
"2015-2016",42,3,16.6666666666667,6
"2017-2018",41.1,4,22.2222222222222,4.5
"2009-2010",39.3,5,27.7777777777778,3.6
"2020-2021",39,6,33.3333333333333,3
"2016-2017",36.3,7,38.8888888888889,2.57142857142857
"2010-2011",35.1,8,44.4444444444444,2.25
"2012-2013",34.5,9,50,2
"2011-2012",34.2,10,55.5555555555556,1.8
"2019-2020",33,11,61.1111111111111,1.63636363636364
"2014-2015",29.1,12,66.6666666666667,1.5
"2018-2019",27.3,13,72.2222222222222,1.38461538461538
"2006-2007",26.4,14,77.7777777777778,1.28571428571429
"2013-2014",24,15,83.3333333333333,1.2
"2021-2022",22.2,16,88.8888888888889,1.125
"2005-2006",19.8,17,94.4444444444444,1.05882352941176
