Years,x20_min,rank,Probability,Frequency
"1996-1997",31.8,1,7.69230769230769,13
"1995-1996",27.9,2,15.3846153846154,6.5
"2004-2005",17.526,3,23.0769230769231,4.33333333333333
"1993-1994",17.4,4,30.7692307692308,3.25
"2000-2001",15.6,5,38.4615384615385,2.6
"2003-2004",15.24,6,46.1538461538462,2.16666666666667
"1997-1998",13.8,7,53.8461538461538,1.85714285714286
"1998-1999",10.2,8,61.5384615384615,1.625
"2002-2003",8.4,9,69.2307692307692,1.44444444444444
"1999-2000",6,10,76.9230769230769,1.3
"2005-2006",3.3,11,84.6153846153846,1.18181818181818
"2001-2002",1.8,12,92.3076923076923,1.08333333333333
