Years,x20_min,rank,Probability,Frequency
"2004-2005",95.1,1,4,25
"2008-2009",53.4,2,8,12.5
"2020-2021",41.4,3,12,8.33333333333333
"2016-2017",33.3,4,16,6.25
"2015-2016",22.5,5,20,5
"2000-2001",20.7,6,24,4.16666666666667
"2013-2014",18.6,7,28,3.57142857142857
"2017-2018",17.1,8,32,3.125
"2005-2006",16.2,9,36,2.77777777777778
"2006-2007",15.6,10,40,2.5
"2001-2002",13.8,11,44,2.27272727272727
"2012-2013",11.4,12,48,2.08333333333333
"2003-2004",11.1,13,52,1.92307692307692
"2019-2020",10.8,14,56,1.78571428571429
"2007-2008",10.2,15,60,1.66666666666667
"2010-2011",9,16,64,1.5625
"1998-1999",8.4,17,68,1.47058823529412
"2009-2010",7.8,18,72,1.38888888888889
"2002-2003",7.5,19,76,1.31578947368421
"2018-2019",7.5,20,80,1.25
"2021-2022",6.9,21,84,1.19047619047619
"2014-2015",5.4,22,88,1.13636363636364
"2011-2012",4.8,23,92,1.08695652173913
"1999-2000",3.6,24,96,1.04166666666667
