Years,x20_min,rank,Probability,Frequency
"2013-2014",53.1,1,4.16666666666667,24
"2008-2009",51.6,2,8.33333333333333,12
"2000-2001",43.5,3,12.5,8
"2004-2005",37.5,4,16.6666666666667,6
"2014-2015",34.8,5,20.8333333333333,4.8
"2019-2020",34.8,6,25,4
"2021-2022",26.7,7,29.1666666666667,3.42857142857143
"2009-2010",24.9,8,33.3333333333333,3
"2015-2016",24.9,9,37.5,2.66666666666667
"2011-2012",22.8,10,41.6666666666667,2.4
"2018-2019",20.7,11,45.8333333333333,2.18181818181818
"2002-2003",18.3,12,50,2
"2010-2011",17.1,13,54.1666666666667,1.84615384615385
"2017-2018",16.8,14,58.3333333333333,1.71428571428571
"2020-2021",15.9,15,62.5,1.6
"2001-2002",15.6,16,66.6666666666667,1.5
"2007-2008",15.6,17,70.8333333333333,1.41176470588235
"2005-2006",15.3,18,75,1.33333333333333
"2016-2017",15.3,19,79.1666666666667,1.26315789473684
"2012-2013",13.2,20,83.3333333333333,1.2
"2003-2004",12.9,21,87.5,1.14285714285714
"1999-2000",9.9,22,91.6666666666667,1.09090909090909
"2006-2007",9.6,23,95.8333333333333,1.04347826086957
