Years,x20_min,rank,Probability,Frequency
"1997-1998",270,1,7.69230769230769,13
"2000-2001",106.5,2,15.3846153846154,6.5
"1994-1995",54,3,23.0769230769231,4.33333333333333
"2005-2006",27,4,30.7692307692308,3.25
"1999-2000",24,5,38.4615384615385,2.6
"1995-1996",21,6,46.1538461538462,2.16666666666667
"1996-1997",21,7,53.8461538461538,1.85714285714286
"2001-2002",19.8,8,61.5384615384615,1.625
"2002-2003",19.8,9,69.2307692307692,1.44444444444444
"1998-1999",17.25,10,76.9230769230769,1.3
"2004-2005",14.7,11,84.6153846153846,1.18181818181818
"2003-2004",10.5,12,92.3076923076923,1.08333333333333
