Years,x20_min,rank,Probability,Frequency
"2009-2010",45,1,5.55555555555556,18
"2015-2016",36,2,11.1111111111111,9
"2019-2020",34.8,3,16.6666666666667,6
"2020-2021",29.7,4,22.2222222222222,4.5
"2008-2009",29.4,5,27.7777777777778,3.6
"2021-2022",27.6,6,33.3333333333333,3
"2017-2018",26.1,7,38.8888888888889,2.57142857142857
"2018-2019",25.5,8,44.4444444444444,2.25
"2014-2015",22.8,9,50,2
"2005-2006",21.6,10,55.5555555555556,1.8
"2006-2007",21.6,11,61.1111111111111,1.63636363636364
"2013-2014",20.7,12,66.6666666666667,1.5
"2016-2017",20.4,13,72.2222222222222,1.38461538461538
"2011-2012",20.1,14,77.7777777777778,1.28571428571429
"2012-2013",19.8,15,83.3333333333333,1.2
"2010-2011",18,16,88.8888888888889,1.125
"2007-2008",12.3,17,94.4444444444444,1.05882352941176
