Years,x2_5_hr,rank,Probability,Frequency
"2004-2005",15.68,1,3.84615384615385,26
"2017-2018",10.8,2,7.69230769230769,13
"2000-2001",8.68,3,11.5384615384615,8.66666666666667
"2015-2016",8.12,4,15.3846153846154,6.5
"2008-2009",7.24,5,19.2307692307692,5.2
"2013-2014",7,6,23.0769230769231,4.33333333333333
"2018-2019",6.8,7,26.9230769230769,3.71428571428571
"2021-2022",6.8,8,30.7692307692308,3.25
"2014-2015",6.44,9,34.6153846153846,2.88888888888889
"1997-1998",6.16,10,38.4615384615385,2.6
"2009-2010",6.04,11,42.3076923076923,2.36363636363636
"2010-2011",4.6,12,46.1538461538462,2.16666666666667
"1999-2000",4.36,13,50,2
"2006-2007",4.24,14,53.8461538461538,1.85714285714286
"2012-2013",4.24,15,57.6923076923077,1.73333333333333
"2001-2002",4.16,16,61.5384615384615,1.625
"2019-2020",4.04,17,65.3846153846154,1.52941176470588
"2011-2012",3.44,18,69.2307692307692,1.44444444444444
"2020-2021",3.28,19,73.0769230769231,1.36842105263158
"2005-2006",3.24,20,76.9230769230769,1.3
"2007-2008",3,21,80.7692307692308,1.23809523809524
"1998-1999",2.64,22,84.6153846153846,1.18181818181818
"2016-2017",2.44,23,88.4615384615385,1.1304347826087
"2002-2003",2.28,24,92.3076923076923,1.08333333333333
"1996-1997",1.36,25,96.1538461538462,1.04
