Years,x2_5_hr,rank,Probability,Frequency
"2013-2014",15.08,1,4.16666666666667,24
"2009-2010",14.2,2,8.33333333333333,12
"2000-2001",14.04,3,12.5,8
"2010-2011",13.92,4,16.6666666666667,6
"2014-2015",12.36,5,20.8333333333333,4.8
"2020-2021",11.6,6,25,4
"2018-2019",11.32,7,29.1666666666667,3.42857142857143
"2007-2008",11.28,8,33.3333333333333,3
"2017-2018",11.2,9,37.5,2.66666666666667
"2005-2006",10.56,10,41.6666666666667,2.4
"2001-2002",9.48,11,45.8333333333333,2.18181818181818
"2006-2007",9,12,50,2
"1999-2000",8.68,13,54.1666666666667,1.84615384615385
"2021-2022",8.32,14,58.3333333333333,1.71428571428571
"2012-2013",8.16,15,62.5,1.6
"2004-2005",8.12,16,66.6666666666667,1.5
"2019-2020",8.08,17,70.8333333333333,1.41176470588235
"2015-2016",7.8,18,75,1.33333333333333
"2011-2012",7.08,19,79.1666666666667,1.26315789473684
"2008-2009",6.8,20,83.3333333333333,1.2
"2002-2003",5.6,21,87.5,1.14285714285714
"2003-2004",5.28,22,91.6666666666667,1.09090909090909
"2016-2017",4.92,23,95.8333333333333,1.04347826086957
