Years,x2_5_hr,rank,Probability,Frequency
"2019-2020",13.64,1,3.7037037037037,27
"1996-1997",13.2,2,7.40740740740741,13.5
"2014-2015",11,3,11.1111111111111,9
"2013-2014",9.88,4,14.8148148148148,6.75
"2006-2007",9.56,5,18.5185185185185,5.4
"2015-2016",8.56,6,22.2222222222222,4.5
"2004-2005",8.52,7,25.9259259259259,3.85714285714286
"2012-2013",6.8,8,29.6296296296296,3.375
"2008-2009",6.68,9,33.3333333333333,3
"2017-2018",6.64,10,37.037037037037,2.7
"2005-2006",6.24,11,40.7407407407407,2.45454545454545
"2009-2010",6.16,12,44.4444444444444,2.25
"2011-2012",5.52,13,48.1481481481481,2.07692307692308
"1997-1998",5.36,14,51.8518518518518,1.92857142857143
"2002-2003",5.36,15,55.5555555555556,1.8
"2018-2019",5.2,16,59.2592592592593,1.6875
"2003-2004",5,17,62.962962962963,1.58823529411765
"2000-2001",4.96,18,66.6666666666667,1.5
"1999-2000",4.72,19,70.3703703703704,1.42105263157895
"2001-2002",4.44,20,74.0740740740741,1.35
"2007-2008",4.28,21,77.7777777777778,1.28571428571429
"2021-2022",4.24,22,81.4814814814815,1.22727272727273
"1998-1999",3.52,23,85.1851851851852,1.17391304347826
"2020-2021",3.44,24,88.8888888888889,1.125
"2016-2017",3.32,25,92.5925925925926,1.08
"2010-2011",2.68,26,96.2962962962963,1.03846153846154
