Years,x2_5_hr,rank,Probability,Frequency
"2017-2018",25.64,1,5,20
"2018-2019",24.12,2,10,10
"2015-2016",16.28,3,15,6.66666666666667
"2006-2007",13.2,4,20,5
"2008-2009",11.36,5,25,4
"2014-2015",9.16,6,30,3.33333333333333
"2020-2021",9,7,35,2.85714285714286
"2012-2013",8.88,8,40,2.5
"2009-2010",8.44,9,45,2.22222222222222
"2004-2005",8.24,10,50,2
"2011-2012",7.8,11,55,1.81818181818182
"2013-2014",7.76,12,60,1.66666666666667
"2019-2020",7.68,13,65,1.53846153846154
"2021-2022",7.52,14,70,1.42857142857143
"2016-2017",6.68,15,75,1.33333333333333
"2003-2004",5.8,16,80,1.25
"2005-2006",5.72,17,85,1.17647058823529
"2010-2011",5.48,18,90,1.11111111111111
"2007-2008",5.36,19,95,1.05263157894737
