Years,x2_5_hr,rank,Probability,Frequency
"2009-2010",11.36,1,7.14285714285714,14
"2015-2016",7.48,2,14.2857142857143,7
"2019-2020",7.44,3,21.4285714285714,4.66666666666667
"2013-2014",6.8,4,28.5714285714286,3.5
"2018-2019",4.76,5,35.7142857142857,2.8
"2010-2011",4,6,42.8571428571429,2.33333333333333
"2012-2013",3.52,7,50,2
"2020-2021",3.4,8,57.1428571428571,1.75
"2014-2015",3.16,9,64.2857142857143,1.55555555555556
"2017-2018",3.12,10,71.4285714285714,1.4
"2021-2022",3,11,78.5714285714286,1.27272727272727
"2011-2012",1.84,12,85.7142857142857,1.16666666666667
"2016-2017",1.52,13,92.8571428571429,1.07692307692308
