Years,x2_5_hr,rank,Probability,Frequency
"2019-2020",19.4,1,6.25,16
"2017-2018",14.52,2,12.5,8
"2018-2019",13,3,18.75,5.33333333333333
"2010-2011",12.28,4,25,4
"2020-2021",11.48,5,31.25,3.2
"2012-2013",10.88,6,37.5,2.66666666666667
"2008-2009",10.36,7,43.75,2.28571428571429
"2013-2014",8.72,8,50,2
"2015-2016",8.04,9,56.25,1.77777777777778
"2021-2022",7.56,10,62.5,1.6
"2007-2008",7.4,11,68.75,1.45454545454545
"2009-2010",6.84,12,75,1.33333333333333
"2016-2017",6.4,13,81.25,1.23076923076923
"2014-2015",6.16,14,87.5,1.14285714285714
"2011-2012",6,15,93.75,1.06666666666667
