Years,x2_5_hr,rank,Probability,Frequency
"2005-2006",17.12,1,4.76190476190476,21
"2014-2015",16.4,2,9.52380952380952,10.5
"2021-2022",16.32,3,14.2857142857143,7
"2016-2017",15.56,4,19.047619047619,5.25
"2009-2010",14.76,5,23.8095238095238,4.2
"2013-2014",13.88,6,28.5714285714286,3.5
"2018-2019",12.56,7,33.3333333333333,3
"2006-2007",11.96,8,38.0952380952381,2.625
"2012-2013",11.72,9,42.8571428571429,2.33333333333333
"2004-2005",11.6,10,47.6190476190476,2.1
"2020-2021",11.16,11,52.3809523809524,1.90909090909091
"2019-2020",9.84,12,57.1428571428571,1.75
"2015-2016",9.08,13,61.9047619047619,1.61538461538462
"2008-2009",8.68,14,66.6666666666667,1.5
"2003-2004",8.68,15,71.4285714285714,1.4
"2007-2008",8.4,16,76.1904761904762,1.3125
"2010-2011",8.12,17,80.9523809523809,1.23529411764706
"2017-2018",8.04,18,85.7142857142857,1.16666666666667
"2011-2012",6.92,19,90.4761904761905,1.10526315789474
"2002-2003",6.08,20,95.2380952380952,1.05
