Years,x2_5_hr,rank,Probability,Frequency
"2009-2010",16.16,1,6.66666666666667,15
"2020-2021",15.32,2,13.3333333333333,7.5
"2019-2020",15.16,3,20,5
"2010-2011",13.52,4,26.6666666666667,3.75
"2012-2013",13.4,5,33.3333333333333,3
"2021-2022",12.72,6,40,2.5
"2016-2017",12.68,7,46.6666666666667,2.14285714285714
"2017-2018",11.84,8,53.3333333333333,1.875
"2008-2009",10.96,9,60,1.66666666666667
"2018-2019",10.56,10,66.6666666666667,1.5
"2013-2014",10.24,11,73.3333333333333,1.36363636363636
"2011-2012",9.16,12,80,1.25
"2015-2016",9,13,86.6666666666667,1.15384615384615
"2014-2015",8.36,14,93.3333333333333,1.07142857142857
