Years,x2_5_hr,rank,Probability,Frequency
"2019-2020",30.08,1,4.54545454545455,22
"2020-2021",22.4,2,9.09090909090909,11
"2014-2015",20.6,3,13.6363636363636,7.33333333333333
"2017-2018",20.6,4,18.1818181818182,5.5
"2010-2011",18.6,5,22.7272727272727,4.4
"2007-2008",13.88,6,27.2727272727273,3.66666666666667
"2018-2019",13.72,7,31.8181818181818,3.14285714285714
"2006-2007",13.4,8,36.3636363636364,2.75
"2012-2013",12.76,9,40.9090909090909,2.44444444444444
"2003-2004",12.56,10,45.4545454545455,2.2
"2011-2012",11.32,11,50,2
"2013-2014",10.52,12,54.5454545454545,1.83333333333333
"2009-2010",9.44,13,59.0909090909091,1.69230769230769
"2001-2002",9.4,14,63.6363636363636,1.57142857142857
"2008-2009",9.24,15,68.1818181818182,1.46666666666667
"2016-2017",9.12,16,72.7272727272727,1.375
"2002-2003",9.08,17,77.2727272727273,1.29411764705882
"2021-2022",8.96,18,81.8181818181818,1.22222222222222
"2015-2016",8.8,19,86.3636363636364,1.15789473684211
"2005-2006",8.28,20,90.9090909090909,1.1
"2004-2005",6.16,21,95.4545454545455,1.04761904761905
